,id,type,sectionId,sectionName,webPublicationDate,webTitle,webUrl,apiUrl,isHosted,pillarId,pillarName
0,world/2022/oct/22/russian-and-us-defence-ministers-discuss-ukraine-war-in-rare-talks,article,world,World news,2022-10-22T01:24:17Z,Russian and US defence ministers discuss Ukraine war in rare talks,https://www.theguardian.com/world/2022/oct/22/russian-and-us-defence-ministers-discuss-ukraine-war-in-rare-talks,https://content.guardianapis.com/world/2022/oct/22/russian-and-us-defence-ministers-discuss-ukraine-war-in-rare-talks,False,pillar/news,News
1,world/2022/oct/10/russian-pop-star-criticised-ukraine-war-israel-alla-pugacheva,article,world,World news,2022-10-10T16:07:42Z,Russian pop star who criticised Ukraine war says she is in Israel,https://www.theguardian.com/world/2022/oct/10/russian-pop-star-criticised-ukraine-war-israel-alla-pugacheva,https://content.guardianapis.com/world/2022/oct/10/russian-pop-star-criticised-ukraine-war-israel-alla-pugacheva,False,pillar/news,News
2,world/live/2022/aug/26/russia-ukraine-war-un-determined-to-visit-zaporizhzhia-nuclear-plant-russia-turning-site-into-active-war-zone-says-us-live-news,liveblog,world,World news,2022-08-26T17:50:05Z,Russia-Ukraine war: EU to hold urgent talks over Russian ‘energy war’; Ukraine announces mandatory evacuations – as it happened ,https://www.theguardian.com/world/live/2022/aug/26/russia-ukraine-war-un-determined-to-visit-zaporizhzhia-nuclear-plant-russia-turning-site-into-active-war-zone-says-us-live-news,https://content.guardianapis.com/world/live/2022/aug/26/russia-ukraine-war-un-determined-to-visit-zaporizhzhia-nuclear-plant-russia-turning-site-into-active-war-zone-says-us-live-news,False,pillar/news,News
3,world/live/2022/oct/15/russia-ukraine-war-live-news-many-russian-reservists-likely-buying-their-own-body-armour-says-uk,liveblog,world,World news,2022-10-15T18:12:08Z,"Russia-Ukraine war live: ‘endemic corruption and poor logistics’ harming Russian military, says UK – as it happened",https://www.theguardian.com/world/live/2022/oct/15/russia-ukraine-war-live-news-many-russian-reservists-likely-buying-their-own-body-armour-says-uk,https://content.guardianapis.com/world/live/2022/oct/15/russia-ukraine-war-live-news-many-russian-reservists-likely-buying-their-own-body-armour-says-uk,False,pillar/news,News
4,world/live/2022/sep/05/russia-ukraine-war-gas-prices-expected-to-surge-in-europe-zelenskiy-claims-progress-in-counteroffensive-live-news,liveblog,world,World news,2022-09-05T18:00:05Z,Russia-Ukraine war: Ukraine says it has pushed Russian forces back near Kramatorsk; last Zaporizhzhia reactor disconnected after Russian shelling – as it happened,https://www.theguardian.com/world/live/2022/sep/05/russia-ukraine-war-gas-prices-expected-to-surge-in-europe-zelenskiy-claims-progress-in-counteroffensive-live-news,https://content.guardianapis.com/world/live/2022/sep/05/russia-ukraine-war-gas-prices-expected-to-surge-in-europe-zelenskiy-claims-progress-in-counteroffensive-live-news,False,pillar/news,News
5,world/live/2022/oct/20/russia-ukraine-war-ukraine-restricts-power-use-abundant-evidence-russia-using-iranian-drones-says-us-live,liveblog,world,World news,2022-10-20T18:05:22Z,Russia-Ukraine war: UK sanctions Iran over drones used in Russian attacks in Ukraine; Kyiv restricts power use – as it happened,https://www.theguardian.com/world/live/2022/oct/20/russia-ukraine-war-ukraine-restricts-power-use-abundant-evidence-russia-using-iranian-drones-says-us-live,https://content.guardianapis.com/world/live/2022/oct/20/russia-ukraine-war-ukraine-restricts-power-use-abundant-evidence-russia-using-iranian-drones-says-us-live,False,pillar/news,News
6,world/live/2022/sep/16/russia-ukraine-war-zelenskiy-compares-scenes-in-izium-to-bucha-massacre-live-updates,liveblog,world,World news,2022-09-16T20:04:36Z,Russia-Ukraine war: senior pro-Russian officials reported killed; Ukraine says mass grave found at Izium – as it happened,https://www.theguardian.com/world/live/2022/sep/16/russia-ukraine-war-zelenskiy-compares-scenes-in-izium-to-bucha-massacre-live-updates,https://content.guardianapis.com/world/live/2022/sep/16/russia-ukraine-war-zelenskiy-compares-scenes-in-izium-to-bucha-massacre-live-updates,False,pillar/news,News
7,world/2022/oct/18/how-soulmates-hungary-and-poland-fell-out-over-ukraine-war,article,world,World news,2022-10-18T16:02:47Z,How soulmates Hungary and Poland fell out over Ukraine war,https://www.theguardian.com/world/2022/oct/18/how-soulmates-hungary-and-poland-fell-out-over-ukraine-war,https://content.guardianapis.com/world/2022/oct/18/how-soulmates-hungary-and-poland-fell-out-over-ukraine-war,False,pillar/news,News
8,world/2022/jun/03/russian-troops-pound-donbas-region-as-ukraine-war-enters-100th-day,article,world,World news,2022-06-03T14:29:22Z,Russian troops pound Donbas as Ukraine war enters 100th day,https://www.theguardian.com/world/2022/jun/03/russian-troops-pound-donbas-region-as-ukraine-war-enters-100th-day,https://content.guardianapis.com/world/2022/jun/03/russian-troops-pound-donbas-region-as-ukraine-war-enters-100th-day,False,pillar/news,News
9,world/2022/sep/23/berlusconi-claims-russians-pushed-putin-into-ukraine-war,article,world,World news,2022-09-23T15:40:32Z,Berlusconi claims Russians ‘pushed’ Putin into Ukraine war,https://www.theguardian.com/world/2022/sep/23/berlusconi-claims-russians-pushed-putin-into-ukraine-war,https://content.guardianapis.com/world/2022/sep/23/berlusconi-claims-russians-pushed-putin-into-ukraine-war,False,pillar/news,News
